Forge Standard ID,Grade,Grade Band,Subject,Domain / Strand,Forge Standard,Description,Learning Target — I Can,Essential Question,Priority,Tennessee Standard(s),Common Core,NGSS,NSQ Online Course,TN Alignment,National Alignment,Alignment Rationale,Prerequisite Anchor,Next / Acceleration Anchor,Suggested Evidence / Performance Task,Source Document / Page,Review Status,Final Approver,Crosswalk Links
FF.G5.MATH.16,5,Grades 4–5,Mathematics,Fractions,Solve fraction multiplication problems,Solve real-world problems involving multiplication of fractions and mixed numbers with visual models or equations.,I can solve real-world problems involving multiplication of fractions and mixed numbers with visual models or equations.,How can solve fraction multiplication problems be used accurately to solve and explain a meaningful problem?,Essential,5.NF.B.6,CCSS.MATH.CONTENT.5.NF.B.6,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 5 standards share the same domain and a substantially aligned performance expectation.,5.NF.B.4 fraction multiplication,6.NS.A.1 fraction division and 6.RP applications,Authentic design or measurement problem using fraction multiplication,TN Math 2021 PDF p.60,Draft—Head of School Review,Head of School,8
FF.G5.MATH.17,5,Grades 4–5,Mathematics,Fractions,Divide unit fractions and whole numbers,Interpret and compute division of unit fractions by whole numbers and whole numbers by unit and non-unit fractions in real-world problems.,I can interpret and compute division of unit fractions by whole numbers and whole numbers by unit and non-unit fractions in real-world problems.,How can divide unit fractions and whole numbers be used accurately to solve and explain a meaningful problem?,Essential,5.NF.B.7,CCSS.MATH.CONTENT.5.NF.B.7,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 5 standards share the same domain and a substantially aligned performance expectation.,Grade 4 fraction multiplication,6.NS.A.1 division of fractions by fractions,"Fraction-division story, visual model, equation, and explanation",TN Math 2021 PDF p.60,Draft—Head of School Review,Head of School,8
FF.G5.MATH.18,5,Grades 4–5,Mathematics,Measurement & Data,Convert measurements within a system,"Convert customary and metric measurements from larger units to smaller units and solve multistep problems involving length, time, volume, mass, and money.","I can convert customary and metric measurements from larger units to smaller units and solve multistep problems involving length, time, volume, mass, and money.",How can convert measurements within a system be used accurately to solve and explain a meaningful problem?,Essential,5.MD.A.1,CCSS.MATH.CONTENT.5.MD.A.1,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 5 standards share the same domain and a substantially aligned performance expectation.,4.MD.A.1 unit relationships,6.RP.A.3d unit conversion with ratios,Multistep conversion plan for an authentic project,TN Math 2021 PDF p.61,Draft—Head of School Review,Head of School,8
FF.G5.MATH.19,5,Grades 4–5,Mathematics,Measurement & Data,Represent and interpret fractional data,Make line plots with fractional measurements and use Grade 5 fraction operations to solve problems about the data.,I can make line plots with fractional measurements and use Grade 5 fraction operations to solve problems about the data.,How can represent and interpret fractional data be used accurately to solve and explain a meaningful problem?,Essential,5.MD.B.2,CCSS.MATH.CONTENT.5.MD.B.2,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 5 standards share the same domain and a substantially aligned performance expectation.,4.MD.B.4 line plots with fractions,6.SP.A–B statistical distributions,Line-plot investigation with fraction-based conclusions,TN Math 2021 PDF p.61,Draft—Head of School Review,Head of School,8
FF.G5.MATH.20,5,Grades 4–5,Mathematics,Measurement & Data,Explain volume measurement,Recognize volume as an attribute of solid figures and explain cubic units and unit-cube packing without gaps or overlaps.,I can recognize volume as an attribute of solid figures and explain cubic units and unit-cube packing without gaps or overlaps.,How can explain volume measurement be used accurately to solve and explain a meaningful problem?,Essential,5.MD.C.3,CCSS.MATH.CONTENT.5.MD.C.3,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 5 standards share the same domain and a substantially aligned performance expectation.,Grade 4 area and multiplicative measurement,6.G.A.2 volume with fractional edges,Build and explain a unit-cube volume model,TN Math 2021 PDF p.61,Draft—Head of School Review,Head of School,8
FF.G5.MATH.21,5,Grades 4–5,Mathematics,Measurement & Data,Measure volume with unit cubes,"Measure volume by counting cubic units in centimeters, inches, feet, or improvised units.","I can measure volume by counting cubic units in centimeters, inches, feet, or improvised units.",How can measure volume with unit cubes be used accurately to solve and explain a meaningful problem?,Essential,5.MD.C.4,CCSS.MATH.CONTENT.5.MD.C.4,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 5 standards share the same domain and a substantially aligned performance expectation.,5.MD.C.3 unit-cube concepts,6.G.A.2 volume with fractional edge lengths,Volume measurement investigation using physical or virtual cubes,TN Math 2021 PDF p.61,Draft—Head of School Review,Head of School,8
FF.G5.MATH.22,5,Grades 4–5,Mathematics,Measurement & Data,Relate volume to multiplication and addition,"Use V = l × w × h and V = B × h, and add volumes of non-overlapping prisms to solve real-world problems.","I can use V = l × w × h and V = B × h, and add volumes of non-overlapping prisms to solve real-world problems.",How can relate volume to multiplication and addition be used accurately to solve and explain a meaningful problem?,Essential,5.MD.C.5,CCSS.MATH.CONTENT.5.MD.C.5,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 5 standards share the same domain and a substantially aligned performance expectation.,5.MD.C.3–4 volume concepts and measurement,6.G.A.2 volume with fractional edges and formulas,"Composite-prism design with formula, model, and explanation",TN Math 2021 PDF p.61,Draft—Head of School Review,Head of School,8
FF.G5.MATH.23,5,Grades 4–5,Mathematics,Geometry,Graph and interpret ordered pairs,Graph and label ordered pairs in the first quadrant and explain how coordinates represent horizontal and vertical distances.,I can graph and label ordered pairs in the first quadrant and explain how coordinates represent horizontal and vertical distances.,How can graph and interpret ordered pairs be used accurately to solve and explain a meaningful problem?,Essential,5.G.A.1,CCSS.MATH.CONTENT.5.G.A.1,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 5 standards share the same domain and a substantially aligned performance expectation.,Grade 4 line and angle representations,6.NS.C.6 coordinate plane in four quadrants,Coordinate map with labeled points and movement explanation,TN Math 2021 PDF p.62,Draft—Head of School Review,Head of School,8
FF.G5.MATH.24,5,Grades 4–5,Mathematics,Geometry,Solve problems on the coordinate plane,Represent and solve real-world and mathematical problems by graphing and interpreting points in the first quadrant.,I can represent and solve real-world and mathematical problems by graphing and interpreting points in the first quadrant.,How can solve problems on the coordinate plane be used accurately to solve and explain a meaningful problem?,Essential,5.G.A.2,CCSS.MATH.CONTENT.5.G.A.2,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 5 standards share the same domain and a substantially aligned performance expectation.,5.G.A.1 ordered-pair meaning,6.NS.C.8 four-quadrant coordinate problems,Coordinate-plane modeling task tied to an authentic context,TN Math 2021 PDF p.62,Draft—Head of School Review,Head of School,8
FF.G5.MATH.25,5,Grades 4–5,Mathematics,Geometry,Classify two-dimensional figures hierarchically,Classify two-dimensional figures in a hierarchy and explain how properties of a category apply to its subcategories.,I can classify two-dimensional figures in a hierarchy and explain how properties of a category apply to its subcategories.,How can classify two-dimensional figures hierarchically be used accurately to solve and explain a meaningful problem?,Essential,5.G.B.3,CCSS.MATH.CONTENT.5.G.B.3,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 5 standards share the same domain and a substantially aligned performance expectation.,4.G.A.2 shape classification,6.G.A.1 area through composition and decomposition,Shape hierarchy with property-based justification,TN Math 2021 PDF p.62,Draft—Head of School Review,Head of School,8
FF.G6.MATH.01,6,Grades 6–8,Mathematics,Ratios & Proportional Relationships,Interpret ratios,"Understand ratios, distinguish ratios from fractions, and use ratio language to describe relationships between quantities.","I can understand ratios, distinguish ratios from fractions, and use ratio language to describe relationships between quantities.",How can interpret ratios be used accurately to solve and explain a meaningful problem?,Essential,6.RP.A.1,CCSS.MATH.CONTENT.6.RP.A.1,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 6 standards share the same domain and a substantially aligned performance expectation.,Grade 5 fraction multiplication and scaling,7.RP.A.1–2 proportional relationships,Ratio representation and context explanation,TN Math 2021 PDF p.65,Draft—Head of School Review,Head of School,8
FF.G6.MATH.02,6,Grades 6–8,Mathematics,Ratios & Proportional Relationships,Interpret unit rates,Understand unit rate as a ratio with a nonzero second quantity and use rate language in context.,I can understand unit rate as a ratio with a nonzero second quantity and use rate language in context.,How can interpret unit rates be used accurately to solve and explain a meaningful problem?,Essential,6.RP.A.2,CCSS.MATH.CONTENT.6.RP.A.2,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 6 standards share the same domain and a substantially aligned performance expectation.,Grade 5 fraction interpretation and measurement,7.RP.A.1 unit rates with complex fractions,Unit-rate comparison with units and written interpretation,TN Math 2021 PDF p.65,Draft—Head of School Review,Head of School,8
FF.G6.MATH.03,6,Grades 6–8,Mathematics,Ratios & Proportional Relationships,"Solve ratio, rate, percent, and conversion problems","Use equivalent-ratio tables, diagrams, graphs, equations, unit rates, percents, and unit conversions to solve problems.","I can use equivalent-ratio tables, diagrams, graphs, equations, unit rates, percents, and unit conversions to solve problems.","How can solve ratio, rate, percent, and conversion problems be used accurately to solve and explain a meaningful problem?",Essential,6.RP.A.3,CCSS.MATH.CONTENT.6.RP.A.3,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 6 standards share the same domain and a substantially aligned performance expectation.,"Grade 5 patterns, fractions, and measurement conversions",7.RP.A.2–3 proportional and percent problems,"Authentic pricing, speed, percent, or conversion investigation",TN Math 2021 PDF p.65,Draft—Head of School Review,Head of School,8
FF.G6.MATH.04,6,Grades 6–8,Mathematics,The Number System,Divide fractions by fractions,"Interpret and compute quotients of fractions and solve real-world problems using models, equations, and multiplication-division relationships.","I can interpret and compute quotients of fractions and solve real-world problems using models, equations, and multiplication-division relationships.",How can divide fractions by fractions be used accurately to solve and explain a meaningful problem?,Essential,6.NS.A.1,CCSS.MATH.CONTENT.6.NS.A.1,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 6 standards share the same domain and a substantially aligned performance expectation.,5.NF.B.7 unit-fraction division,7.NS.A.2 rational-number multiplication and division,"Fraction-division model, story context, computation, and explanation",TN Math 2021 PDF p.65,Draft—Head of School Review,Head of School,8
FF.G6.MATH.05,6,Grades 6–8,Mathematics,The Number System,Divide multi-digit numbers fluently,Fluently divide multi-digit whole numbers using a standard algorithm.,I can fluently divide multi-digit whole numbers using a standard algorithm.,How can divide multi-digit numbers fluently be used accurately to solve and explain a meaningful problem?,Essential,6.NS.B.2,CCSS.MATH.CONTENT.6.NS.B.2,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 6 standards share the same domain and a substantially aligned performance expectation.,5.NBT.B.6 multi-digit division strategies,7.NS rational-number operations,Fluency sample with estimation and error analysis,TN Math 2021 PDF p.66,Draft—Head of School Review,Head of School,8
FF.G6.MATH.06,6,Grades 6–8,Mathematics,The Number System,Operate with multi-digit decimals fluently,"Fluently add, subtract, multiply, and divide multi-digit decimals using standard algorithms connected to conceptual models.","I can fluently add, subtract, multiply, and divide multi-digit decimals using standard algorithms connected to conceptual models.",How can operate with multi-digit decimals fluently be used accurately to solve and explain a meaningful problem?,Essential,6.NS.B.3,CCSS.MATH.CONTENT.6.NS.B.3,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 6 standards share the same domain and a substantially aligned performance expectation.,5.NBT.B.7 decimal operations,7.NS.A rational-number operations,Decimal computation set with model and reasonableness check,TN Math 2021 PDF p.66,Draft—Head of School Review,Head of School,8
FF.G6.MATH.07,6,Grades 6–8,Mathematics,The Number System,"Use factors, multiples, and the distributive property",Find greatest common factors and least common multiples and use the distributive property to rewrite sums with common factors.,I can find greatest common factors and least common multiples and use the distributive property to rewrite sums with common factors.,"How can use factors, multiples, and the distributive property be used accurately to solve and explain a meaningful problem?",Essential,6.NS.B.4,CCSS.MATH.CONTENT.6.NS.B.4,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 6 standards share the same domain and a substantially aligned performance expectation.,Grade 4 factors and multiples,7.EE.A.1–2 equivalent expressions,Factor-and-multiple investigation with equivalent-expression explanation,TN Math 2021 PDF p.66,Draft—Head of School Review,Head of School,8
FF.G6.MATH.08,6,Grades 6–8,Mathematics,The Number System,Represent positive and negative quantities,Use positive and negative numbers to represent opposite quantities in context and explain the meaning of zero.,I can use positive and negative numbers to represent opposite quantities in context and explain the meaning of zero.,How can represent positive and negative quantities be used accurately to solve and explain a meaningful problem?,Essential,6.NS.C.5,CCSS.MATH.CONTENT.6.NS.C.5,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 6 standards share the same domain and a substantially aligned performance expectation.,Grade 5 whole-number and decimal number lines,7.NS.A.1 rational-number addition and subtraction,"Context model for temperature, elevation, charge, or finance",TN Math 2021 PDF p.66,Draft—Head of School Review,Head of School,8
FF.G6.MATH.09,6,Grades 6–8,Mathematics,The Number System,Plot rational numbers on number lines and coordinate planes,"Represent rational numbers, opposites, and ordered pairs on number lines and in all four quadrants.","I can represent rational numbers, opposites, and ordered pairs on number lines and in all four quadrants.",How can plot rational numbers on number lines and coordinate planes be used accurately to solve and explain a meaningful problem?,Essential,6.NS.C.6,CCSS.MATH.CONTENT.6.NS.C.6,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 6 standards share the same domain and a substantially aligned performance expectation.,5.G.A.1–2 first-quadrant coordinates,7.NS rational-number operations and graphs,Four-quadrant coordinate model with reflection explanation,TN Math 2021 PDF p.66,Draft—Head of School Review,Head of School,8
FF.G6.MATH.10,6,Grades 6–8,Mathematics,The Number System,Order rational numbers and interpret absolute value,Compare and order rational numbers and interpret absolute value as distance from zero in real-world contexts.,I can compare and order rational numbers and interpret absolute value as distance from zero in real-world contexts.,How can order rational numbers and interpret absolute value be used accurately to solve and explain a meaningful problem?,Essential,6.NS.C.7,CCSS.MATH.CONTENT.6.NS.C.7,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 6 standards share the same domain and a substantially aligned performance expectation.,Grade 5 decimal comparison,7.NS.A.1–3 rational-number operations,Number-line comparison and absolute-value context analysis,TN Math 2021 PDF p.66,Draft—Head of School Review,Head of School,8
FF.G6.MATH.11,6,Grades 6–8,Mathematics,The Number System,Solve four-quadrant coordinate problems,Graph points in all four quadrants and use coordinates and absolute value to find horizontal or vertical distances.,I can graph points in all four quadrants and use coordinates and absolute value to find horizontal or vertical distances.,How can solve four-quadrant coordinate problems be used accurately to solve and explain a meaningful problem?,Essential,6.NS.C.8,CCSS.MATH.CONTENT.6.NS.C.8,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 6 standards share the same domain and a substantially aligned performance expectation.,5.G.A.2 coordinate problems in the first quadrant,7.G.A scale drawings and coordinate geometry,Coordinate map problem with distance justification,TN Math 2021 PDF p.67,Draft—Head of School Review,Head of School,8
FF.G6.MATH.12,6,Grades 6–8,Mathematics,Expressions & Equations,Use whole-number exponents,Write and evaluate numerical expressions involving whole-number exponents.,I can write and evaluate numerical expressions involving whole-number exponents.,How can use whole-number exponents be used accurately to solve and explain a meaningful problem?,Essential,6.EE.A.1,CCSS.MATH.CONTENT.6.EE.A.1,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 6 standards share the same domain and a substantially aligned performance expectation.,5.NBT.A.2 powers of ten,7.EE.A equivalent expressions,Exponent model and evaluated expression,TN Math 2021 PDF p.67,Draft—Head of School Review,Head of School,8
FF.G6.MATH.13,6,Grades 6–8,Mathematics,Expressions & Equations,"Write, read, and evaluate variable expressions","Translate situations into expressions, identify expression parts, and evaluate formulas and expressions for given variable values.","I can translate situations into expressions, identify expression parts, and evaluate formulas and expressions for given variable values.","How can write, read, and evaluate variable expressions be used accurately to solve and explain a meaningful problem?",Essential,6.EE.A.2,CCSS.MATH.CONTENT.6.EE.A.2,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 6 standards share the same domain and a substantially aligned performance expectation.,5.OA.A.1–2 numerical expressions,7.EE.B multi-step equations and inequalities,"Expression translation, vocabulary annotation, and evaluation",TN Math 2021 PDF p.67,Draft—Head of School Review,Head of School,8
FF.G6.MATH.14,6,Grades 6–8,Mathematics,Expressions & Equations,Generate equivalent expressions,"Apply properties of operations, especially the distributive property, to generate equivalent expressions.","I can apply properties of operations, especially the distributive property, to generate equivalent expressions.",How can generate equivalent expressions be used accurately to solve and explain a meaningful problem?,Essential,6.EE.A.3,CCSS.MATH.CONTENT.6.EE.A.3,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 6 standards share the same domain and a substantially aligned performance expectation.,5.OA expression structure and 6.NS.B.4 factoring,7.EE.A.1–2 equivalent expressions,Equivalent-expression proof using models and properties,TN Math 2021 PDF p.67,Draft—Head of School Review,Head of School,8
FF.G6.MATH.15,6,Grades 6–8,Mathematics,Expressions & Equations,Identify equivalent expressions,Determine whether expressions name the same value for every permissible substitution and justify equivalence.,I can determine whether expressions name the same value for every permissible substitution and justify equivalence.,How can identify equivalent expressions be used accurately to solve and explain a meaningful problem?,Essential,6.EE.A.4,CCSS.MATH.CONTENT.6.EE.A.4,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 6 standards share the same domain and a substantially aligned performance expectation.,6.EE.A.3 properties of operations,7.EE.A.2 rewriting expressions,Substitution test and property-based equivalence explanation,TN Math 2021 PDF p.67,Draft—Head of School Review,Head of School,8
FF.G6.MATH.16,6,Grades 6–8,Mathematics,Expressions & Equations,Interpret solutions to equations and inequalities,Use substitution to determine whether a value makes an equation or inequality true.,I can use substitution to determine whether a value makes an equation or inequality true.,How can interpret solutions to equations and inequalities be used accurately to solve and explain a meaningful problem?,Essential,6.EE.B.5,CCSS.MATH.CONTENT.6.EE.B.5,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 6 standards share the same domain and a substantially aligned performance expectation.,Grade 5 unknowns in numerical expressions,7.EE.B.3–4 multi-step equations and inequalities,Solution-testing task with written justification,TN Math 2021 PDF p.68,Draft—Head of School Review,Head of School,8
FF.G6.MATH.17,6,Grades 6–8,Mathematics,Expressions & Equations,Use variables to represent quantities,Use variables to represent unknown or varying numbers and write expressions for real-world and mathematical problems.,I can use variables to represent unknown or varying numbers and write expressions for real-world and mathematical problems.,How can use variables to represent quantities be used accurately to solve and explain a meaningful problem?,Essential,6.EE.B.6,CCSS.MATH.CONTENT.6.EE.B.6,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 6 standards share the same domain and a substantially aligned performance expectation.,5.OA.A.2 expression representation,7.EE.B.3–4 equations and inequalities,Variable-expression model for an authentic situation,TN Math 2021 PDF p.68,Draft—Head of School Review,Head of School,8
FF.G6.MATH.18,6,Grades 6–8,Mathematics,Expressions & Equations,Solve one-step equations,"Write and solve one-step addition, subtraction, multiplication, and division equations with nonnegative rational numbers.","I can write and solve one-step addition, subtraction, multiplication, and division equations with nonnegative rational numbers.",How can solve one-step equations be used accurately to solve and explain a meaningful problem?,Essential,6.EE.B.7,CCSS.MATH.CONTENT.6.EE.B.7,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 6 standards share the same domain and a substantially aligned performance expectation.,Grade 5 arithmetic and unknown quantities,7.EE.B.4 equations and inequalities,"Context equation, solution, and inverse-operation explanation",TN Math 2021 PDF p.68,Draft—Head of School Review,Head of School,8
FF.G6.MATH.19,6,Grades 6–8,Mathematics,Expressions & Equations,Represent and solve inequalities,"Write inequalities for constraints, recognize infinitely many solutions, and graph solution sets on number lines.","I can write inequalities for constraints, recognize infinitely many solutions, and graph solution sets on number lines.",How can represent and solve inequalities be used accurately to solve and explain a meaningful problem?,Essential,6.EE.B.8,CCSS.MATH.CONTENT.6.EE.B.8,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 6 standards share the same domain and a substantially aligned performance expectation.,6.NS.C.7 rational-number order,7.EE.B.4 two-step inequalities,"Constraint scenario, inequality, graph, and interpretation",TN Math 2021 PDF p.68,Draft—Head of School Review,Head of School,8
FF.G6.MATH.20,6,Grades 6–8,Mathematics,Expressions & Equations,Model dependent and independent variables,"Write an equation for related quantities and analyze the relationship using tables, graphs, and equations.","I can write an equation for related quantities and analyze the relationship using tables, graphs, and equations.",How can model dependent and independent variables be used accurately to solve and explain a meaningful problem?,Essential,6.EE.C.9,CCSS.MATH.CONTENT.6.EE.C.9,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 6 standards share the same domain and a substantially aligned performance expectation.,5.OA.B.3 related patterns and graphs,7.RP.A.2 proportional relationships,Multi-representation model of two changing quantities,TN Math 2021 PDF p.68,Draft—Head of School Review,Head of School,8
FF.G6.MATH.21,6,Grades 6–8,Mathematics,Geometry,Find areas of triangles and polygons,"Compose and decompose shapes to find areas of triangles, quadrilaterals, and polygons in real-world problems.","I can compose and decompose shapes to find areas of triangles, quadrilaterals, and polygons in real-world problems.",How can find areas of triangles and polygons be used accurately to solve and explain a meaningful problem?,Essential,6.G.A.1,CCSS.MATH.CONTENT.6.G.A.1,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 6 standards share the same domain and a substantially aligned performance expectation.,Grade 5 area and shape classification,7.G.B.4–6 area and geometric problem solving,Scale drawing or land-use area plan with decomposition,TN Math 2021 PDF p.68,Draft—Head of School Review,Head of School,8
FF.G6.MATH.22,6,Grades 6–8,Mathematics,Geometry,Find volume with fractional edge lengths,Use unit cubes and the formulas V = lwh and V = Bh to find volumes of right rectangular prisms with fractional edges.,I can use unit cubes and the formulas V = lwh and V = Bh to find volumes of right rectangular prisms with fractional edges.,How can find volume with fractional edge lengths be used accurately to solve and explain a meaningful problem?,Essential,6.G.A.2,CCSS.MATH.CONTENT.6.G.A.2,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 6 standards share the same domain and a substantially aligned performance expectation.,5.MD.C.3–5 whole-number volume,7.G volume and scale applications,Fractional-dimension prism model and calculation,TN Math 2021 PDF p.68,Draft—Head of School Review,Head of School,8
FF.G6.MATH.23,6,Grades 6–8,Mathematics,Geometry,Draw coordinate polygons and find side lengths,Draw polygons from vertex coordinates and find horizontal or vertical side lengths in real-world problems.,I can draw polygons from vertex coordinates and find horizontal or vertical side lengths in real-world problems.,How can draw coordinate polygons and find side lengths be used accurately to solve and explain a meaningful problem?,Essential,6.G.A.3,CCSS.MATH.CONTENT.6.G.A.3,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 6 standards share the same domain and a substantially aligned performance expectation.,6.NS.C.8 coordinate distance,7.G.A scale drawings and transformations,Coordinate-polygon design with dimension calculations,TN Math 2021 PDF p.69,Draft—Head of School Review,Head of School,8
FF.G6.MATH.24,6,Grades 6–8,Mathematics,Geometry,Use nets to find surface area,Represent three-dimensional figures with rectangle-and-triangle nets and use the nets to find surface area.,I can represent three-dimensional figures with rectangle-and-triangle nets and use the nets to find surface area.,How can use nets to find surface area be used accurately to solve and explain a meaningful problem?,Essential,6.G.A.4,CCSS.MATH.CONTENT.6.G.A.4,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 6 standards share the same domain and a substantially aligned performance expectation.,5.MD.C volume and two-dimensional area,7.G.B.6 surface area applications,Package net design with surface-area calculation,TN Math 2021 PDF p.69,Draft—Head of School Review,Head of School,8
FF.G6.MATH.25,6,Grades 6–8,Mathematics,Statistics & Probability,Recognize statistical questions,Distinguish statistical questions by whether they anticipate variability in the data.,I can distinguish statistical questions by whether they anticipate variability in the data.,How can recognize statistical questions be used accurately to solve and explain a meaningful problem?,Essential,6.SP.A.1,CCSS.MATH.CONTENT.6.SP.A.1,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 6 standards share the same domain and a substantially aligned performance expectation.,Grade 5 line-plot questions,7.SP.A representative samples,Question-sort and revised statistical investigation question,TN Math 2021 PDF p.69,Draft—Head of School Review,Head of School,8
FF.G6.MATH.26,6,Grades 6–8,Mathematics,Statistics & Probability,Describe data distributions,"Describe a data distribution by its center, range, and overall shape.","I can describe a data distribution by its center, range, and overall shape.",How can describe data distributions be used accurately to solve and explain a meaningful problem?,Essential,6.SP.A.2,CCSS.MATH.CONTENT.6.SP.A.2,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 6 standards share the same domain and a substantially aligned performance expectation.,5.MD.B.2 line-plot interpretation,7.SP.B comparing distributions,Distribution description using a real data set,TN Math 2021 PDF p.69,Draft—Head of School Review,Head of School,8
FF.G6.MATH.27,6,Grades 6–8,Mathematics,Statistics & Probability,Interpret measures of center and variation,"Explain how mean, median, or mode summarizes center and how range summarizes variation.","I can explain how mean, median, or mode summarizes center and how range summarizes variation.",How can interpret measures of center and variation be used accurately to solve and explain a meaningful problem?,Essential,6.SP.A.3,CCSS.MATH.CONTENT.6.SP.A.3,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 6 standards share the same domain and a substantially aligned performance expectation.,6.SP.A.2 distribution features,7.SP.B.4 comparative measures,Center-and-variation analysis with interpretation,TN Math 2021 PDF p.69,Draft—Head of School Review,Head of School,8
FF.G6.MATH.28,6,Grades 6–8,Mathematics,Statistics & Probability,Display numerical data,"Display one numerical data set using dot plots, box plots, pie charts, and stem plots.","I can display one numerical data set using dot plots, box plots, pie charts, and stem plots.",How can display numerical data be used accurately to solve and explain a meaningful problem?,Essential,6.SP.B.4,CCSS.MATH.CONTENT.6.SP.B.4,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 6 standards share the same domain and a substantially aligned performance expectation.,Grade 5 line plots,7.SP.B comparing distributions,Create and compare appropriate displays for one data set,TN Math 2021 PDF p.69,Draft—Head of School Review,Head of School,8
